STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
997338,99999, 20050322,   35.0,12, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  16.9,12,  23.9, 999.9,   35.4*,  34.3*, 0.00I,999.9, 000000,
997338,99999, 20050323,   35.1,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  19.0,24,  23.9, 999.9,   37.2*,  32.5*, 0.00I,999.9, 000000,
997338,99999, 20050324,   34.0,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   7.9,24,  16.9, 999.9,   36.3*,  31.3*, 0.00I,999.9, 000000,
997338,99999, 20050325,   34.6,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  11.1,24,  18.1, 999.9,   36.7*,  32.0*, 0.00I,999.9, 000000,
997338,99999, 20050326,   34.2,21, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   9.0,21,  15.9, 999.9,   35.1*,  33.3*, 0.00I,999.9, 000000,
997338,99999, 20050328,   40.0,10, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   7.5,10,   9.9, 999.9,   44.8*,  36.0*, 0.00I,999.9, 000000,
997338,99999, 20050329,   48.5,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  13.3,24,  22.0, 999.9,   58.6*,  41.5*, 0.00I,999.9, 000000,
997338,99999, 20050330,   53.6,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  20.7,24,  34.0, 999.9,   67.8*,  45.3*, 0.00I,999.9, 000000,
997338,99999, 20050331,   51.5,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  22.1,24,  30.9, 999.9,   62.8*,  43.3*, 0.00I,999.9, 000000,
997338,99999, 20050401,   47.4,17, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   5.8,17,  15.0, 999.9,   57.0*,  43.0*, 0.00I,999.9, 000000,
997338,99999, 20050402,   39.0,22, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  19.8,22,  26.0, 999.9,   41.0*,  37.8*, 0.00I,999.9, 000000,
997338,99999, 20050403,   40.8,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   8.5,24,  15.9, 999.9,   42.8*,  38.7*, 0.00I,999.9, 000000,
